pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
97.3616,-47.6184,90.0,top,C1,,,CP_Radial_D5.0mm_P2.00mm,10µF,tht
55.3616,-32.6184,0.0,top,J1,,,DIP-18_W7.62mm,UD2,tht
55.3616,-62.6184,0.0,top,J2,,,DIP-18_W7.62mm,UE2,tht
125.3616,-32.6184,0.0,top,J3,,,DIP-18_W7.62mm,UD6,tht
125.3616,-62.6184,0.0,top,J4,,,DIP-18_W7.62mm,UE6,tht
72.3616,-37.6184,90.0,top,J5,,,PinHeader_1x02_P2.54mm_Vertical,SW,tht
94.9866,-37.6184,-90.0,top,J6,,,PinHeader_1x07_P2.54mm_Vertical,Signals,tht
69.7416,-43.6184,0.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
104.3616,-49.5384,0.0,top,U1,,,DIP-28_W15.24mm_Socket,6264 RAM,tht
91.0516,-59.1884,0.0,top,U2,,,DIP-20_W7.62mm_Socket,GAL16V8,tht
70.1216,-49.6784,0.0,top,U3,,,DIP-28_W15.24mm_Socket,2764 ROM,tht
